Title,Type,Description,Level,Duration,Rating,Review Count,Skills Covered,Prerequisites,Instructor
Segmentation and Clustering,free,The Segmentation & Clustering course provides students with the knowledge to build and apply clustering models to develop sophisticated segmentation in business contexts.,intermediate,3 Weeks,4.4,472,"Variable Reduction, Clustering Models design","Python, SQL & Statistics",https://icon2.cleanpng.com/20180519/bpp/kisspng-jeff-bezos-amazon-com-new-mexico-chief-executive-b-5b00862a40d4a1.2921875715267610022656.jpg
Time Series Forecasting,free,The Time Series Forecasting course provides students with the foundational knowledge to build and apply time series forecasting models in a variety of business contexts.,intermediate,3 Weeks,4.4,472,"Time Series Forecasting, ETS Models, ARIMA Models","Python, SQL & Statistics",https://cdn.profoto.com/cdn/053149e/contentassets/d39349344d004f9b8963df1551f24bf4/profoto-albert-watson-steve-jobs-pinned-image-original.jpg?width=1280&quality=75&format=jpg
App Marketing,free,"This course will help you organize a strategy of identifying your perfect user, and teach you how to grow your user base by focusing your product on their needs.",intermediate,2 Weeks,4.4,472,"App Marketing, User Segmentation, Customer Acquisition","Python, SQL & Statistics",https://www.usf.edu/engineering/cse/images/kjc.jpg 
App Monetization,free,"Learn how to effectively develop, implement, and measure your monetization strategy, iterating on the model as appropriate.",intermediate,3 Weeks,4.4,472,"Product Design, Google Analytics","Python, SQL & Statistics",https://www.usf.edu/engineering/cse/images/andujar-marvinsmall.jpg 
A/B Testing for Business Analysts,free,The A/B Testing course provides students with the foundational knowledge to design and analyze A/B tests to create business insights and support decision making.,intermediate,3 Weeks,4.4,755,"A/B Randomized Design Tests, A/B Matched Pair Design Tests","Python, SQL & Statistics",https://www.usf.edu/engineering/cse/images/anderson-jim-small.jpg 
How to Build a Startup,free,"Learn what it takes to build a successful startup using the Customer Development process, where entrepreneurs ""get out of the building"" to gather and iterate on feedback.",intermediate,3 Weeks,4.4,755,"Entrepreneurship, Value Proposition, Revenue Models, Customer Segments","Python, SQL & Statistics",https://www.usf.edu/engineering/cse/images/andujar-marvinsmall.jpg 
Get Your Startup Started,free,Acquire the know-how necessary to see your business grow towards its next milestone.,intermediate,3 Weeks,4.4,755,"Entrepreneurship, Bootstrapping",None,https://rcpmag.com/-/media/ECG/redmondmag/Images/introimages/131004SchwartzGates.jpg
Managing Remote Teams with Upwork,free,Bring your remote-teams to the next level with hands-on skills to manage your remote workforce effectively.,beginner,3 Weeks,4.4,755,"Team Management, Workforce Training, Business Strategy, Agile Management, Remote Work",None,https://www.cs.ucf.edu/wp-content/uploads/2022/04/Ladislau-Boloni233edit-scaled.jpg 
Oracle Autonomous Database Administration,free,"Dive into the fundamentals of autonomous databases. Explore the process of planning, implementing, and deploying an Oracle Autonomous Database, the first and only autonomous database service in the cloud.",beginner,3 Weeks,4.4,755,"Oracle Autonomous Database,  Exadata infrastructure,  Oracle Machine Learning,  APEX,  and SQL Developer Web,  Autonomous JSON,  Oracle Text,  Spatial,  and Graph",None,https://commons.wikimedia.org/wiki/Man?uselang=sw#/media/File:Jens_Fink-Jensen.jpg
Oracle Cloud Infrastructure Architect Associate,free,Develop key insights into key concepts and features of Oracle Cloud Infrastructure (OCI).,intermediate,3 Weeks,4.4,755,"VCN,  Network security,  load balancer and traffic management,  OCI Compute and storage,  autoscaling,  OS management",Understanding of data privacy regulations and cybersecurity best practices,https://commons.wikimedia.org/wiki/Man?uselang=sw#/media/File:Alisher_Saipov.jpg
Oracle Cloud Infrastructure Architect Professional,free,This course will help you gain strong knowledge through hands-on experience with architecting infrastructure using Oracle Cloud Infrastructure services.,advanced,3 Weeks,4.4,755,"OCI,  Cloud solution,  N-tier applications,  microservices,  and serverless architecture",Understanding of data privacy regulations and cybersecurity best practices,https://commons.wikimedia.org/wiki/Man?uselang=sw#/media/File:Jens_Fink-Jensen.jpg
Oracle Cloud Infrastructure Foundations,free,Develop foundational knowledge of Oracle Cloud Infrastructure Cloud Services.,beginner,3 Weeks,4.6,755,"OCI,  OCI service offerings,  OCI security model,  OCI compliance structure,  OCI pricing,  support model,  and operations.",Understanding of data privacy regulations and cybersecurity best practices,https://commons.wikimedia.org/wiki/Man?uselang=sw#/media/File:Jens_Fink-Jensen.jpg
Oracle Cloud Infrastructure Operations Professional,free,This course is going to walk you through some of the day-to-day operational activities that you might find yourself managing in the Oracle Cloud Infrastructure ecosystem.,beginner,3 Weeks,4.6,755,"OCI CLI,  Oracle Resource Manager,  Manage custom images,  Network Security Architecture",Understanding of data privacy regulations and cybersecurity best practices,https://www.usf.edu/engineering/cse/images/isabela.jpg
Google Cloud Digital Leader Training,free,Gain foundational literacy in cloud & digital transformation. Increase your cloud confidence so you can speak with colleagues in technical cloud roles and contribute to informed cloud-related business decisions.,intermediate,2 Weeks,4.6,755,"Google Cloud Fundamentals,  Cloud Computing Fluency,  Digital Transformation Strategy,  Data Innovation,  IT Infrastructure Modernization,  Application Modernization,  Cloud Cost Governance,  Cloud Security Fluency,  Cloud Operational Efficiency",Understanding of data privacy regulations and cybersecurity best practices,https://www.usf.edu/engineering/cse/images/goldgof-photo.jpg
Cloud Native Fundamentals,free,"Throughout this course, students will learn how to structure, package, and release an application to a Kubernetes cluster, while using an automated CI/CD pipeline.",intermediate,3 Weeks,4.6,793,"Kubernetes,  Docker,  Cloud Computing Fluency,  Cloud Architecture Model Types,  CI/CD,  Application Development Best Practices,  Argo CD,  Github Actions,  Platform as a Service",Understanding of data privacy regulations and cybersecurity best practices,https://www.usf.edu/engineering/cse/images/isabela.jpg
Cyber-Physical Systems Design & Analysis,free,This course provides an introduction to cyber-physical systems with an industrial perspective.,advanced,16 Weeks,4.6,793,"Kubernetes,  Docker,  Cloud Computing Fluency,  Cloud Architecture Model Types,  CI/CD,  Application Development Best Practices,  Argo CD,  Github Actions,  Platform as a Service",Understanding of data privacy regulations and cybersecurity best practices,https://commons.wikimedia.org/wiki/Man?uselang=sw#/media/File:Alisher_Saipov.jpg
Differential Equations in Action,free,"Write Python code to find numerical solutions to systems of differential equations. The models you create will fight wildfires, bring spaceships back to earth, and more!",intermediate,2 Weeks,4.6,793,"Math, Differential Equations",Understanding of data privacy regulations and cybersecurity best practices,https://commons.wikimedia.org/wiki/Man?uselang=sw#/media/File:Jens_Fink-Jensen.jpg
Self-Driving Fundamentals: Featuring Apollo ,free,"Identify key parts of self-driving cars, utilize Apollo HD Map, localization, perception, prediction, planning and control, and start the learning path of building a self-driving car. ",beginner,4 Weeks,4.6,793,"Apollo HD Map, Localization, Perception, Prediction, Planning, Control","HTTP, Python, Git, Linux, Docker",https://www.usf.edu/engineering/cse/images/isabela.jpg
Product Manager Interview Preparation,free,"Ace your product management interview by understanding how to answer key strategic, technical, and practical product questions.",beginner,3 Weeks,4.6,793,"Product Management, Interview Preparation, Career Advancement, Product Strategy, Technical Interview","HTTP, Python, Git, Linux, Docker",https://commons.wikimedia.org/wiki/Man?uselang=sw#/media/File:Jens_Fink-Jensen.jpg
Craft Your Cover Letter,free,Write a compelling narrative that showcases your value to the company.,beginner,3 Weeks,4.6,793,"Creating a narrative, Targeting your pitch, Communicating value, Career Advancement","HTTP, Python, Git, Linux, Docker",https://commons.wikimedia.org/wiki/Man?uselang=sw#/media/File:Jens_Fink-Jensen.jpg
Refresh Your Resume,free,Create a targeted resume that gets the attention of recruiters and lands you an interview in tech.,beginner,2 Weeks,4.6,793,"Resume writing, Company targeting, Storytelling, Career Advancement","HTTP, Python, Git, Linux, Docker",https://commons.wikimedia.org/wiki/Man?uselang=sw#/media/File:Alisher_Saipov.jpg
Strengthen Your LinkedIn Network & Brand,free,Learn how to excel at networking both in-person and on LinkedIn.,beginner,3 Weeks,4.6,673,"Personal branding, LinkedIn, Networking, Career Advancement","HTTP, Python, Git, Linux, Docker",https://www.cs.ucf.edu/wp-content/uploads/2022/04/Ladislau-Boloni233edit-scaled.jpg 
Data Science Interview Prep,free,"Prepare for data science interviews by practicing data analysis, machine learning, and data structure and algorithms questions.",intermediate,3 Weeks,4.6,673,"Interview practice, Common Data Questions, Data Structures, Career Advancement",Basic understanding of data types,https://www.cs.ucf.edu/wp-content/uploads/2022/04/Ladislau-Boloni233edit-scaled.jpg 
Android Interview Prep,free,Learn how to respond to common Android and mobile development interview questions.,intermediate,3 Weeks,4.6,673,"Interview practice, Common Android Questions, Whiteboarding",Basic understanding of data types,https://www.cs.ucf.edu/wp-content/uploads/2022/04/Ladislau-Boloni233edit-scaled.jpg 
Machine Learning Interview Preparation,free,"In this course, youâ€™ll learn exactly what to expect during a machine learning interview.",intermediate,3 Weeks,4.6,673,"Interview practice, Machine Learning, Career Advancement",Basic understanding of data types,https://cdn.profoto.com/cdn/053149e/contentassets/d39349344d004f9b8963df1551f24bf4/profoto-albert-watson-steve-jobs-pinned-image-original.jpg?width=1280&quality=75&format=jpg
Front-End Interview Prep,free,Answer front-end technical and behavioral interview questions with confidence and poise.,intermediate,3 Weeks,4.6,673,"Interview questions, Common FE Questions, Whiteboarding, Career Advancement",Basic understanding of data types,https://cdn.profoto.com/cdn/053149e/contentassets/d39349344d004f9b8963df1551f24bf4/profoto-albert-watson-steve-jobs-pinned-image-original.jpg?width=1280&quality=75&format=jpg
Full-Stack Interview Prep,free,Answer common full stack and web security interview questions with confidence and poise.,intermediate,3 Weeks,4.6,673,"Interview practice, Common FS Questions, Whiteboarding, Career Advancement",Basic understanding of data types,https://cdn.profoto.com/cdn/053149e/contentassets/d39349344d004f9b8963df1551f24bf4/profoto-albert-watson-steve-jobs-pinned-image-original.jpg?width=1280&quality=75&format=jpg
Data Structures & Algorithms in Swift,free,Review and practice the skills technical interviewers expect you to know and learn how to explain your Swift solutions.,intermediate,4 Weeks,4.6,869,"Interview practice, Swift, Data structures, Career Advancement",Basic understanding of data types,https://icon2.cleanpng.com/20180519/bpp/kisspng-jeff-bezos-amazon-com-new-mexico-chief-executive-b-5b00862a40d4a1.2921875715267610022656.jpg
iOS Interview Prep,free,Answer iOS and mobile development interview questions with confidence and poise.,intermediate,3 Weeks,4.6,869,"Interview practice, Common iOS Questions, Whiteboarding, Career Advancement",Python & Mathematics,https://icon2.cleanpng.com/20180519/bpp/kisspng-jeff-bezos-amazon-com-new-mexico-chief-executive-b-5b00862a40d4a1.2921875715267610022656.jpg
VR Interview Prep,free,Learn how to tackle interview questions for technical roles in VR Development.,intermediate,3 Weeks,4.6,869,"Interview practice, Common VR Questions, Whiteboarding, Career Advancement",Python & Mathematics,https://icon2.cleanpng.com/20180519/bpp/kisspng-jeff-bezos-amazon-com-new-mexico-chief-executive-b-5b00862a40d4a1.2921875715267610022656.jpg
